Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
4621,ALFA TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
4664,SEEMA AGENCIES,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
4668,ABDUL HUSSAIN ADAMJI,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
4756,M/s. V.R.N & Co,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
4757,4S SALES,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
4791,Ramakrishna Agencies,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
4831,M/s MAMATHA AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
487,MAYUR TRADING COMPANY,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
4870,D N TRADE LINK,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
5088,Haranath Agencies,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
511,MANJUNATHA AGENCIES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
5112,R.K.Enterprise,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
5120,G.K.TRADERS,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
5172,NARULA TRADING CO.,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
5191,JAI GANESH AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
5333,SRI MAHALAKSHMI AGENCIES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
537,ZENITH MARKETING SERVICES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
5379,M/S J M AGENCIES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5383,M/S. SRI SAI AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
542,TRADE CENTRE,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5422,KASHI JEET MARKETING PRIVATE LIMITE,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
5447,ATCHAYA MARKETING COMPANY,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5477,S.J COMBINES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5478,GOPINATH SYNDHICATE,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
550,BEETA TRADERS & AGENCIES (P) LTD,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
552,A.R.P. TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5592,SRINIVASA & CO,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5673,Ashavari trading Pvt Ltd.,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
5717,DEV AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
572,SRIRAM ASSOCIATE,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
5793,GOYAL TRADERS,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
58,LAXMI AGENCIES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
5921,Sainath Enterprises,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
5952,Maa Vaishno Enterprises,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
6032,LAKUMARAPU PANDU RANGAIAH & SONS,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
6040,M/S Balaji Luggage,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
6131,Sri Krishna Agencies,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
6156,VIJAY ANAND MOPKAR,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
6207,KHANDELWAL ENTERPRISES,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
623,M.A.CHINIWALAR & CO.,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
6285,R R STORE,D234 - Ranchi,11/09/2023,Monday,NA,,Normal PDP,
6380,SRI ASHOK AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
6480,Ajay Kumar Rahul Kumar Pvt. Ltd,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
6500,RAJESH TRADERS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
6561,Kailash Agencies,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
658,M.N.REDDY AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
6653,JEEWAN DHARA AGENCIES,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
6775,MALHOTRA ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
6779,SURABHI ASSOCIATES - MT,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
6787,S. K. Agency - MT,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
6801,M/S SOURAV AGENCY,D234 - Ranchi,11/09/2023,Monday,NA,,Normal PDP,
6812,KASHI JEET MARKETING PVT LTD - MT,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
6814,GOVIND AGENCIES - MT,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
6841,SACHIN AGENCIES - MT,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
6853,VEDANT AGENCIES - MT,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
6863,RADHE KRISHNA AGENCIES,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
6894,SHREE JPM ENTERPRISES PVT LTD,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
6895,West Bengal Trading Agency,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
6983,BASAK BROTHERS,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
