"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_21,26-05-2023 05:20:51
General,General,General,Output Report File Creation Completed,26-05-2023 05:20:51
General,General,General,Website Accessible,26-05-2023 05:20:54
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 05:20:55
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 05:20:55
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 05:21:00
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 05:21:00
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:21:12
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:21:13
General,General,General,Website Accessible,26-05-2023 05:21:23
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:21:24
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:21:24
General,General,General,Website Accessible,26-05-2023 05:21:36
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:21:37
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:21:37
General,General,General,Website Accessible,26-05-2023 05:21:48
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 05:24:37
General,General,General,Reading Config File....,26-05-2023 05:24:40
General,General,General,Config Data has been added to dictionary,26-05-2023 05:24:40
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 05:24:41
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_22,26-05-2023 05:24:41
General,General,General,Output Report File Creation Completed,26-05-2023 05:24:41
General,General,General,Website Accessible,26-05-2023 05:24:42
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 05:24:43
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 05:24:43
